city,price,carat,depth,table,x,y,z,clarity,cut,color
Amsterdam,6216,1.0,61.6,54.0,6.49,6.46,3.99,VS2,Premium,G
Amsterdam,675,0.3,60.6,60.0,4.34,4.3,2.62,VS2,Premium,G
Amsterdam,1841,0.62,61.1,59.0,5.56,5.5,3.38,VS2,Premium,G
Amsterdam,720,0.32,60.2,57.0,4.45,4.42,2.67,VS2,Premium,G
Amsterdam,8874,1.39,62.0,56.0,7.18,7.14,4.44,VS2,Premium,G
Amsterdam,847,0.42,59.5,59.0,4.83,4.89,2.89,VS2,Premium,G
Amsterdam,561,0.32,60.5,58.0,4.41,4.42,2.67,VS2,Premium,G
Amsterdam,579,0.33,62.6,58.0,4.41,4.44,2.77,VS2,Premium,G
Amsterdam,7603,1.2,61.4,60.0,6.77,6.81,4.17,VS2,Premium,G
Amsterdam,765,0.34,60.3,59.0,4.53,4.49,2.72,VS2,Premium,G
Amsterdam,5759,1.01,61.2,58.0,6.46,6.49,3.96,VS2,Premium,G
Amsterdam,827,0.41,60.9,58.0,4.8,4.83,2.93,VS2,Premium,G
Amsterdam,8062,1.22,61.1,56.0,6.94,6.85,4.21,VS2,Premium,G
Amsterdam,13299,1.56,61.9,58.0,7.44,7.4,4.59,VS2,Premium,G
Amsterdam,743,0.33,61.9,59.0,4.46,4.4,2.74,VS2,Premium,G
Amsterdam,15801,1.72,61.1,58.0,7.69,7.73,4.71,VS2,Premium,G
Amsterdam,1546,0.51,62.4,58.0,5.12,5.11,3.19,VS2,Premium,G
Amsterdam,2314,0.7,62.1,60.0,5.71,5.65,3.53,VS2,Premium,G
Amsterdam,4386,0.9,61.8,60.0,6.16,6.21,3.82,VS2,Premium,G
Amsterdam,9296,1.31,60.3,58.0,7.13,7.1,4.29,VS2,Premium,G
Amsterdam,2839,0.79,59.3,62.0,6.09,6.01,3.59,VS2,Premium,G
Amsterdam,5593,1.02,62.9,58.0,6.41,6.37,4.02,VS2,Premium,G
Amsterdam,6070,1.05,61.8,58.0,6.52,6.59,4.05,VS2,Premium,G
Amsterdam,1637,0.54,58.7,62.0,5.36,5.34,3.14,VS2,Premium,G
Amsterdam,6296,1.06,60.4,58.0,6.64,6.68,4.02,VS2,Premium,G
Amsterdam,720,0.32,61.7,60.0,4.4,4.32,2.69,VS2,Premium,G
Amsterdam,5826,1.03,63.0,59.0,6.45,6.4,4.05,VS2,Premium,G
Amsterdam,5814,1.03,62.2,56.0,6.51,6.48,4.04,VS2,Premium,G
Amsterdam,6122,1.04,60.0,58.0,6.62,6.54,3.95,VS2,Premium,G
Amsterdam,672,0.32,60.1,61.0,4.44,4.41,2.66,VS2,Premium,G
Amsterdam,6213,1.07,61.9,60.0,6.55,6.48,4.03,VS2,Premium,G
Amsterdam,5131,1.01,61.2,59.0,6.43,6.37,3.92,VS2,Premium,G
Amsterdam,743,0.33,60.6,61.0,4.49,4.46,2.71,VS2,Premium,G
